date,n,k,d,c,ccw,lambda,error_combined,dominance_case,color,weather_weight,atmospheric_weight
2024-05-20,2,4,5,0.1,0.1,0.5,0.22875,weather_dominates,blue,0.9,0.1
2024-05-20,2,4,5,0.2,0.2,0.5,0.2325,weather_dominates,blue,0.8,0.2
2024-05-20,2,4,5,0.3,0.3,0.5,0.23625,hybrid,purple,0.7,0.3
2024-05-20,2,4,5,0.4,0.4,0.5,0.24,hybrid,purple,0.6,0.4
2024-05-20,2,4,5,0.5,0.5,0.5,0.24375,hybrid,purple,0.5,0.5
2024-05-20,2,4,5,0.6,0.6,0.5,0.2475,hybrid,purple,0.4,0.6
2024-05-20,2,4,5,0.7,0.7,0.5,0.25125,hybrid,purple,0.3,0.7
2024-05-20,2,4,5,0.8,0.8,0.5,0.255,atmospheric_dominates,orange,0.2,0.8
2024-05-20,2,4,5,0.9,0.9,0.5,0.25875,atmospheric_dominates,orange,0.1,0.9
2024-05-20,2,4,5,1.0,1.0,0.5,0.2625,atmospheric_dominates,orange,0.0,1.0
2024-05-20,2,4,6,0.0,0.0,0.5,0.234375,weather_dominates,blue,1.0,0.0
2024-05-20,2,4,6,0.1,0.1,0.5,0.238281,weather_dominates,blue,0.9,0.1
2024-05-20,2,4,6,0.2,0.2,0.5,0.242188,weather_dominates,blue,0.8,0.2
2024-05-20,2,4,6,0.3,0.3,0.5,0.246094,hybrid,purple,0.7,0.3
2024-05-20,2,4,6,0.4,0.4,0.5,0.25,hybrid,purple,0.6,0.4
2024-05-20,2,4,6,0.5,0.5,0.5,0.253906,hybrid,purple,0.5,0.5
2024-05-20,2,4,6,0.6,0.6,0.5,0.257812,hybrid,purple,0.4,0.6
2024-05-20,2,4,6,0.7,0.7,0.5,0.261719,hybrid,purple,0.3,0.7
2024-05-20,2,4,6,0.8,0.8,0.5,0.265625,atmospheric_dominates,orange,0.2,0.8
2024-05-20,2,4,6,0.9,0.9,0.5,0.269531,atmospheric_dominates,orange,0.1,0.9
2024-05-20,2,4,6,1.0,1.0,0.5,0.273438,atmospheric_dominates,orange,0.0,1.0
2024-05-20,2,4,7,0.0,0.0,0.5,0.24375,weather_dominates,blue,1.0,0.0
2024-05-20,2,4,7,0.1,0.1,0.5,0.247813,weather_dominates,blue,0.9,0.1
2024-05-20,2,4,7,0.2,0.2,0.5,0.251875,weather_dominates,blue,0.8,0.2
2024-05-20,2,4,7,0.3,0.3,0.5,0.255937,hybrid,purple,0.7,0.3
2024-05-20,2,4,7,0.4,0.4,0.5,0.26,hybrid,purple,0.6,0.4
2024-05-20,2,4,7,0.5,0.5,0.5,0.264063,hybrid,purple,0.5,0.5
2024-05-20,2,4,7,0.6,0.6,0.5,0.268125,hybrid,purple,0.4,0.6
